ticker,name,collected_at,data_start_date,price,change,volume,ghl_color,ghl_status,ghl_days_since_change,ghl_last_change_date,ghl_last_change_price,ghl_change_percent_from_last_change,rsi,rsi_status,rsi_last_change_date,rsi_last_change_price,rsi_days_since_last_change,rsi_change_percent_from_last_change,sector,industry,tradingview_id,market_capitalization,commodity_name,display_name,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,last_max,fell_from_last_max,last_local_min_date,last_local_min_price,is_last_candle_min,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,is_last_candle_max,days_after_last_local_max,percent_fall_from_last_local_max,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,ml_direction,ml_value,ml_last_change_date,ml_last_change_price,ml_change_percent_from_last_change
SUIUSDT,Sui,2026-04-22T00:45:29.832Z,2023-05-01,0.9507,3.0234070221066363,55581040.7,blue,close,98,2026-01-12,1.6961,-43.94788043157833,35.57581278778743,close,2024-12-30,5.2444,476,-81.87209213637404,,,CRYPTO:SUIUSD,3758210120.494865,,Sui,2.2906820000000008,2.3368700000000002,,-58.4970764165432,-59.317377517790895,,1.1596749999999998,1.8023469501425278,0.5170030498574718,-47.25210926093782,83.88672953904053,5.3687,82.29180248477284,2025-10-06,0.5597,,196,69.85885295694122,2025-01-06,5.3687,,469,82.29180248477284,,,,-1,1.8582540867469195,2025-03-03,2.2899,-58.48290318354513
LINKUSDT,Chainlink,2026-04-22T00:45:31.288Z,2019-01-14,9.42,3.9735099337748276,5065013.61,blue,close,84,2026-01-26,9.4,0.21276595744681437,39.205586194065894,close,2024-12-02,26.09,504,-63.89421234189345,,,CRYPTO:LINKUSD,6845209961.826583,,Chainlink,14.763599999999995,15.092699999999995,12.453109999999995,-36.19442412419733,-37.58572024886201,-24.35624514679463,10.262,14.123645245229033,6.400354754770968,-33.30333751350718,47.179341785361515,30.94,69.55397543632839,2026-02-02,7.15,,77,31.748251748251743,2024-12-09,30.94,,497,69.55397543632839,,,,-1,14.914239941930655,2025-11-10,13.73,-31.391114348142757
EDUUSDT,Open Campus,2026-04-22T00:45:32.022Z,2023-04-24,0.0532,26.66666666666665,630606583,blue,close,630,2024-07-29,0.4765,-88.8352570828961,34.47360083196973,open,2025-03-24,0.1177,392,-54.80033984706883,,,CRYPTO:EDUOUSD,39282604.232214004,,Open Campus,0.132652,0.2999629999999999,,-59.89506377589482,-82.26447928577858,,0.10930999999999998,0.1914730062741134,0.027146993725886567,-72.21540464882099,95.97013406781045,1.33999,96.02982111806804,2025-10-06,0.04,,196,32.99999999999999,2024-03-18,1.33999,,763,96.02982111806804,,,,-1,0.13450396076986534,2024-04-08,0.57434,-90.73719399658738
TONUSDT,Toncoin,2026-04-22T00:45:32.737Z,2024-08-05,1.359,5.5124223602484435,26649402.29,blue,close,427,2025-02-17,3.768,-63.933121019108285,40.69054091570032,close,,0,0,0,,,CRYPTO:TONUSD,3385977736.9236927,,Toncoin,2.2316,,,-39.10198960387166,,,1.43175,1.7933408599508567,1.0701591400491435,-24.219648905047475,26.9904586281992,,,,,,,,,,,,,,,,-1,2.0727538131443963,2025-01-27,4.062,-66.54357459379617
HIGHUSDT,Highstreet,2026-04-22T00:45:33.488Z,2021-12-13,0.293,12.692307692307681,139931011.417,blue,close,588,2024-09-09,1.281,-77.12724434035908,56.08111837483735,open,2026-03-16,0.127,35,130.70866141732282,,,CRYPTO:HIGHUSD,23850701.19501697,,Highstreet,0.35877999999999993,0.9141299999999998,1.3556700000000013,-18.33435531523495,-67.9476660868804,-78.38707059977725,0.17914999999999998,0.27877986500041035,0.07952013499958958,5.100847222079219,268.4601390597642,9.768,97.00040950040952,2026-04-13,0.107,,7,173.83177570093457,2024-06-03,9.768,,686,97.00040950040952,,,,-1,0.29861252156135126,2024-06-10,2.773,-89.43382618103138
DASHUSDT,Dash,2026-04-22T00:45:34.978Z,2019-03-25,36.95,10.2326968973747,632537.67,gold,open,175,2025-10-27,89.7,-58.80713489409142,48.8463494040172,close,2025-10-27,89.7,175,-58.80713489409142,,,CRYPTO:DASHUSD,467897289.9993392,,Dash,36.7142,32.241499999999995,35.94459999999999,0.6422583087742684,14.603849076500808,2.797082176460486,39.777499999999996,61.923678790030564,17.631321209969425,-40.32977251676335,109.57022766454428,150,75.36666666666666,2025-06-16,17.4,,308,112.3563218390805,2025-11-03,150,,168,75.36666666666666,,,,-1,72.88713356720447,2025-12-01,44.55,-17.059483726150383
TAOUSDT,Bittensor,2026-04-22T00:45:35.957Z,2024-04-08,244.2,1.9198664440734532,140284.0347,blue,close,385,2025-03-31,183.8,32.86180631120783,46.71866061727923,close,,0,0,0,,,CRYPTO:TAOBUSD,2649978030.583848,,Bittensor,313.662,352.65600000000006,,-22.14549419438758,-30.754049271811635,,237.375,329.537006814088,145.212993185912,-25.896031416657195,68.16676982021697,748.3,67.36602966724575,2025-10-06,140,,196,74.42857142857142,2024-12-02,748.3,,504,67.36602966724575,,,,-1,371.70206353850455,2025-03-03,243.8,0.1640689089417391
NEARUSDT,NEAR Protocol,2026-04-22T00:45:36.952Z,2020-10-12,1.383,4.377358490566042,21222654.6,blue,close,385,2025-03-31,2.162,-36.03145235892692,44.54507590185071,close,2024-02-26,4.432,784,-68.79512635379061,,,CRYPTO:NEARUSD,1788911837.361,,NEAR Protocol,2.0289200000000007,3.259569999999999,3.092799999999999,-31.83565640833549,-57.571090665333145,-55.28323848939471,1.3459000000000003,1.7755784379044406,0.91622156209556,-22.109889911017756,50.94602192474444,9.01,84.6503884572697,2026-02-02,0.841,,77,64.44708680142688,2024-03-11,9.01,,770,84.6503884572697,,,,-1,2.302809920601463,2025-01-27,3.751,-63.12983204478806
BIOUSDT,Bio Protocol,2026-04-22T00:45:37.679Z,2024-12-30,0.0302,7.8571428571428585,739728837.3,blue,close,280,2025-07-14,0.0702,-56.98005698005697,15.220636555225013,close,,0,0,0,,,CRYPTO:BIOPRUSD,64400360.55465096,,Bio Protocol,0.069386,,,-56.47536967111522,,,0.030835,0.05386891195607034,0.007801088043929663,-43.937980361237194,287.1254859570496,0.3254,90.71911493546403,2026-03-23,0.0157,,28,92.35668789808919,2025-08-18,0.3254,,245,90.71911493546403,,,,-1,0.07420302897533901,2025-03-31,0.0544,-44.48529411764706
LTCUSDT,Litecoin,2026-04-22T00:45:39.605Z,2017-12-11,55.75,3.1261561228264845,525112.848,blue,close,84,2026-01-26,58.49,-4.684561463498039,35.55474511536464,open,2026-02-16,53.48,63,4.244577412116679,,,CRYPTO:LTCUSD,4297857136.136461,,Litecoin,85.58719999999998,86.1506,80.84025000000003,-34.86175502878935,-35.28774030592938,-31.03682880743196,62.151499999999984,83.98382857484513,40.319171425154835,-33.61817275296466,38.27169068563245,147.06,62.090303277573774,2026-02-02,45.07,,77,23.696472154426445,2024-12-02,147.06,,504,62.090303277573774,,,,-1,82.60023450909134,2025-03-31,70.63,-21.06753504176695
