ticker,name,collected_at,data_start_date,price,change,volume,ghl_color,ghl_status,ghl_days_since_change,ghl_last_change_date,ghl_last_change_price,ghl_change_percent_from_last_change,rsi,rsi_status,rsi_last_change_date,rsi_last_change_price,rsi_days_since_last_change,rsi_change_percent_from_last_change,sector,industry,tradingview_id,market_capitalization,commodity_name,display_name,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,last_max,fell_from_last_max,last_local_min_date,last_local_min_price,is_last_candle_min,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,is_last_candle_max,days_after_last_local_max,percent_fall_from_last_local_max,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,ml_direction,ml_value,ml_last_change_date,ml_last_change_price,ml_change_percent_from_last_change
TRXUSDT,TRON,2026-02-23T03:45:21.782Z,2018-06-11,0.2873,-1.1355815554026238,47083022.5,blue,close,18,2026-02-05,0.2696,6.565281899109787,52.252275053728134,open,2026-02-05,0.2696,18,6.565281899109787,,,CRYPTO:TRXUSD,27207954463.14681,,TRON,0.291928,0.287093,0.3077195,-1.5853224082650552,0.07210207145420533,-6.635751065499584,0.28134,0.2910535781254901,0.27162642187450986,-1.289651943008141,5.770270070682315,0.321,10.49844236760125,2026-02-06,0.2683,,17,7.081625046589646,2026-01-18,0.321,,36,10.49844236760125,,,,-1,0.2944959522236333,2026-01-20,0.297,-3.265993265993261
BCHUSDT,Bitcoin Cash,2026-02-23T03:45:23.259Z,2019-11-28,542.1,-5.011389521640094,17678.601,blue,close,18,2026-02-05,453.8,19.45791097399736,46.75230119284674,open,2026-02-05,453.8,18,19.45791097399736,,,CRYPTO:BCHUSD,10841781644.375,,Bitcoin Cash,571.2700000000002,568.8450000000003,561.4415000000001,-5.1061669613318035,-4.7016322548322,-3.4449715598152464,540.4399999999999,596.6849428837828,484.1950571162171,-9.14803424064521,11.959011566259047,669.6,19.04121863799283,2026-02-06,423,,17,28.156028368794335,2026-01-05,669.6,,49,19.04121863799283,,,,-1,578.5876806242742,2026-01-29,554.1,-2.1656740660530582
SUIUSDT,Sui,2026-02-23T03:45:24.240Z,2023-05-03,0.8772,-5.208558461205967,21157119.2,blue,close,33,2026-01-21,1.5108,-41.938046068308175,32.13603174103156,open,2026-02-08,0.9722,15,-9.771651923472536,,,CRYPTO:SUIUSD,3373977926.2371254,,Sui,1.327476,1.423066,2.2600464999999996,-33.919709282879694,-38.35844577834057,-61.186639301448,0.9579799999999998,1.0573759274819645,0.858584072518035,-17.03991199336603,2.1682125347805004,2.0244,56.66864256075874,2026-02-06,0.7881,,17,11.305671869052144,2026-01-06,2.0244,,48,56.66864256075874,,,,-1,1.1314032584193967,2026-01-19,1.5681,-44.0596900707863
PEPEUSDT,Pepe,2026-02-23T03:45:25.209Z,2023-05-05,0.00000392,-3.4482758620689746,2856991323592,blue,close,24,2026-01-30,0.00000463,-15.33477321814255,42.2532035652557,open,2026-02-05,0.00000342,18,14.619883040935665,,,CRYPTO:PEPEUSD,1620457247.6924596,,Pepe,0.0000048544,0.0000046715,0.000006819200000000006,-19.248516809492422,-16.08690998608585,-42.515251055842384,0.000004034499999999999,0.000004719758345443526,0.0000033492416545564724,-16.944900287439847,17.041420247089057,0.00000798,50.877192982456144,2025-10-10,0.00000279,,136,40.501792114695334,2025-10-13,0.00000798,,133,50.877192982456144,,,,-1,0.000004854241970953681,2026-01-18,0.00000546,-28.205128205128215
AVAXUSDT,Avalanche,2026-02-23T03:45:25.968Z,2020-09-22,8.42,-5.0732807215332505,1535577.11,blue,close,126,2025-10-20,20.34,-58.603736479842674,32.99388070682464,open,2026-02-10,8.76,13,-3.8812785388127824,,,CRYPTO:AVAXUSD,3635865330.6810656,,Avalanche,11.182000000000002,12.268600000000003,18.2523,-24.700411375424803,-31.36951241380437,-53.86882749023412,9.0375,9.710073416066974,8.364926583933025,-13.285928548514658,0.6583849303920752,14.95,43.67892976588629,2026-02-06,7.55,,17,11.523178807947021,2026-01-14,14.95,,40,43.67892976588629,,,,-1,10.315427238114909,2026-01-20,12.09,-30.355665839536805
LINKUSDT,Chainlink,2026-02-23T03:45:27.447Z,2019-01-16,8.25,-5.0632911392405004,1934109.48,blue,close,129,2025-10-17,16.61,-50.33112582781456,34.25577248525171,open,2026-02-10,8.57,13,-3.7339556592765444,,,CRYPTO:LINKUSD,5835026996.517494,,Chainlink,10.924999999999997,11.983899999999997,16.394399999999997,-24.485125858123546,-31.157636495631625,-49.677938808373575,8.713999999999999,9.315777367470726,8.11222263252927,-11.44056287983286,1.698392336007326,14.4,42.708333333333336,2026-02-06,7.15,,17,15.38461538461538,2026-01-14,14.4,,40,42.708333333333336,,,,-1,10.124251331294191,2025-09-25,20.15,-59.05707196029777
ADAUSDT,Cardano,2026-02-23T03:45:30.542Z,2018-04-17,0.2617,-3.680529996319473,46482040.6,blue,close,134,2025-10-12,0.7001,-62.619625767747465,38.37441249038503,open,2026-02-05,0.2455,18,6.5987780040733135,,,CRYPTO:ADAUSD,9441272554.784525,,Cardano,0.329164,0.3663299999999999,0.5658574999999998,-20.495558445030447,-28.561679360139745,-53.7516070742192,0.2731800000000001,0.2958273486306897,0.25053265136931047,-11.536238548821343,4.457442401081568,0.736,64.4429347826087,2025-10-10,0.2737,,136,0,2025-10-13,0.736,,133,64.4429347826087,,,,-1,0.32200906012610897,2026-01-25,0.339,-22.802359882005906
ENSOUSDT,Enso,2026-02-23T03:45:32.194Z,2025-10-14,2.081,6.992287917737785,2986931.82,gold,open,23,2026-01-31,1.45,43.51724137931035,74.22217074257432,close,2026-02-20,1.927,3,7.9916969382459735,,,CRYPTO:ENSOUSD,43111342,,Enso,1.1279399999999997,0.9346499999999994,,84.4956292001348,122.65018991066188,,1.4150499999999997,2.02867055865168,0.8014294413483195,2.579494296161111,159.66103722106087,2.45,15.061224489795928,2026-01-20,0.536,,34,288.2462686567164,2026-01-25,2.45,,29,15.061224489795928,,,,1,1.1846648055319866,2026-01-23,0.766,171.67101827676242
ASTERUSDT,Aster,2026-02-23T03:45:32.671Z,2025-10-06,0.688,-1.0071942446043174,12699747.07,blue,close,112,2025-11-03,0.914,-24.726477024070025,51.79054036466039,open,2026-02-05,0.467,18,47.32334047109206,,,CRYPTO:ASTER2USD,1706000633.9652247,,Aster,0.6645400000000002,0.7955900000000002,,3.5302615342943433,-13.52329717568097,,0.66515,0.8172950294948869,0.5130049705051132,-15.819872240602662,34.11176100741944,1.407,51.10163468372424,2026-02-06,0.403,,17,70.71960297766748,2025-11-19,1.407,,96,51.10163468372424,,,,1,0.5518772974456264,2026-02-11,0.691,-0.434153400868309
AGLDUSDT,Adventure Gold,2026-02-23T03:45:35.497Z,2021-10-05,0.372,-4.123711340206189,5978155.4,blue,close,24,2026-01-30,0.261,42.52873563218391,73.04225457440076,close,2026-02-22,0.387,1,-3.875968992248069,,,CRYPTO:AGLDUSD,32102862.970659997,,Adventure Gold,0.26675999999999994,0.2738399999999999,0.4147000000000001,39.45119208277106,35.8457493426819,-10.29659995177239,0.24069999999999997,0.3372693533166708,0.14413064668332914,10.297599334713258,158.09916805363736,0.482,22.821576763485474,2025-10-10,0.1,,136,272,2025-10-14,0.482,,132,22.821576763485474,,,,1,0.28869532508988766,2026-02-22,0.387,-3.875968992248069
